Concert_Date,Venue_ID,Country,State,City,CheckIn_Date,CheckOut_Date
2024-11-02,KovZ917A-Tn,United States Of America,California,Palm Desert,2024-11-01,2024-11-03
2024-11-03,KovZ917A-Tn,United States Of America,California,Palm Desert,2024-11-02,2024-11-04
2024-11-09,KovZpZAEkn6A,United States Of America,California,Inglewood,2024-11-08,2024-11-10
2024-11-16,KovZpZAJJEdA,United States Of America,Texas,San Antonio,2024-11-15,2024-11-17
2024-11-17,KovZpZAJ67eA,United States Of America,Texas,Dallas,2024-11-16,2024-11-18
2024-11-20,KovZpZAJtFaA,United States Of America,Florida,Miami,2024-11-19,2024-11-21
2024-11-21,KovZpZAJtFaA,United States Of America,Florida,Miami,2024-11-20,2024-11-22
2024-11-23,KovZpZA6AEIA,United States Of America,North Carolina,Charlotte,2024-11-22,2024-11-24
2024-11-25,KovZpaKuJe,United States Of America,District of Columbia,Washington,2024-11-24,2024-11-26
2024-12-05,KovZ917AtP3,United States Of America,New York,Brooklyn,2024-12-04,2024-12-06
2024-12-06,KovZ917AtP3,United States Of America,New York,Brooklyn,2024-12-05,2024-12-07
2024-12-08,KovZpa2gne,United States Of America,Massachusetts,Boston,2024-12-07,2024-12-09
2024-12-14,KovZpa2M7e,United States Of America,Illinois,Chicago,2024-12-13,2024-12-15
2025-03-12,KovZpZAEeI7A,Mexico,Nuevo León,Guadalupe,2025-03-11,2025-03-13
2025-03-13,KovZpZAEeI7A,Mexico,Nuevo León,Guadalupe,2025-03-12,2025-03-14
2025-03-16,KovZpZA6IlFA,Mexico,Jalisco,Zapopan,2025-03-15,2025-03-17
2025-03-17,KovZpZA6IlFA,Mexico,Jalisco,Zapopan,2025-03-16,2025-03-18
2025-03-19,KovZpZAd1IaA,Mexico,Ciudad de México,Cdmx,2025-03-18,2025-03-20
2025-03-21,KovZpZAd1IaA,Mexico,Ciudad de México,Cdmx,2025-03-20,2025-03-22
2025-03-23,KovZpZAd1IaA,Mexico,Ciudad de México,Cdmx,2025-03-22,2025-03-24
