,Venue ID,Venue Name,Longitude,Latitude,Country,State,City,Address
0,KovZ917A-Tn,Acrisure Arena at Greater Palm Springs,-116.542747,33.825315,United States Of America,California,Palm Desert,75702 Varner Rd.
1,KovZpZAE617A,Footprint Center,-112.071313,33.445899,United States Of America,Arizona,Phoenix,201 East Jefferson Street
2,KovZpZAEkn6A,Kia Forum,-118.341868,33.9583,United States Of America,California,Inglewood,3900 W Manchester Blvd.
3,KovZpZAJJEdA,Frost Bank Center,-98.4337987,29.4330386,United States Of America,Texas,San Antonio,1 Frost Bank Center Drive
4,KovZpZAJ67eA,American Airlines Center,-96.81081803,32.79067196,United States Of America,Texas,Dallas,2500 Victory Avenue
5,KovZpZAJtFaA,Kaseya Center,-80.187805,25.781232,United States Of America,Florida,Miami,601 Biscayne Blvd
6,KovZpZA6AEIA,Spectrum Center ,-80.839921,35.225222,United States Of America,North Carolina,Charlotte,333 East Trade Street
7,KovZpaKuJe,Capital One Arena,-77.020029,38.897412,United States Of America,District of Columbia,Washington,601 F Street NW
8,KovZpZAFFE1A,Scotiabank Arena,-79.3783234,43.6439254,Canada,Ontario,Toronto,"50 Bay Street, Suite 500"
9,KovZ917AtP3,Barclays Center,-73.97519,40.68285,United States Of America,New York,Brooklyn,620 Atlantic Ave
10,KovZpa2gne,TD Garden,-71.060724,42.365841,United States Of America,Massachusetts,Boston,100 Legends Way
11,KovZpauRJe,Centre Bell,-73.570472,45.496129,Canada,Quebec,Montreal,1909 avenue des Canadiens-de-Montréal
12,KovZpa2M7e,United Center,-87.67427375,41.88124412,United States Of America,Illinois,Chicago,1901 W Madison
